,Listing
0,66100845342
1,66100847719
2,66100840635
3,66100838712
4,87101379118
5,69104349058
6,69104143385
7,69103519291
8,69104349558
9,69104267340
10,69103990255
11,69103983933
12,87101156373
13,69104192104
14,69103519290
15,69104308330
16,87101394903
17,69103629474
18,69104259631
19,87101402008
20,69104336541
21,69104061393
22,69104312001
23,69104118775
24,69103685766
25,69102859599
26,69104158663
27,87100972067
28,69104324385
29,69104219377
30,69104169910
31,69104267334
32,69104119239
33,69104275681
34,69104141489
35,69104207721
36,69104267013
37,87101340052
38,69104266759
39,87101394749
40,69104241136
41,87101370119
42,69102743577
43,87101389050
44,69104233157
45,69104104872
46,69103925436
47,69104293773
48,87101346408
49,69103939916
50,69104267313
51,87101268111
52,69103790805
53,69103064187
54,87101327199
55,69103721021
56,87101311109
57,69104026802
58,69104232895
59,69104267531
60,69104349179
61,69104126432
62,69104280379
63,69104281632
64,87101378972
65,69103746274
66,69103117114
67,87101335079
68,87101368402
69,69104156746
70,69103790807
71,69104319689
72,69104311977
73,69102723770
74,87101156514
75,69104082797
76,69103893990
77,69102600862
78,69103874971
79,69104198980
80,69104167527
81,69104004868
82,69104267874
83,69104267120
84,69104200151
85,69104343203
86,69104290965
87,69104193168
88,69104336982
89,87101402728
90,87101258301
91,69104296714
92,69104249697
93,69104339146
94,69104336530
95,69104020797
96,69102662833
97,69104267510
98,69104248847
99,69104075693
100,69104303575
101,69104297014
102,69104334227
103,87101394533
104,69103120499
105,69103153704
106,69103978333
107,87101191765
108,69103788498
109,69104125654
110,87101393666
111,69103941981
112,69104323117
113,87100559851
114,69104273463
115,69103795019
116,69104341100
117,69104045081
118,69103185258
119,69104343911
120,87101381741
121,69104281635
122,69104341105
123,69104186815
124,69104294089
125,69103983966
126,69104267312
127,69103152479
128,69104337786
129,69104349177
130,69104267533
131,69103896084
132,69104250597
133,69104267339
134,69104122304
135,69104278610
136,69104281580
137,69104336867
138,69104220458
139,69104281631
140,87101393922
141,69104321452
142,87101199696
143,69104118774
144,69104170512
145,69104244214
146,87101326005
147,69104303992
148,69103968844
149,69104118773
150,69104215709
151,69104292262
152,69104068438
153,87101326767
154,69103985205
155,69104324893
156,69104118772
157,69104014795
158,69104324894
159,87101392865
160,69103828721
161,69104020241
162,87101392964
163,87101382360
164,69103695779
165,69104304120
166,69104127454
167,87101390128
168,69104054905
169,87101366921
170,69103794411
171,69104192090
172,69104281621
173,87101013565
174,69104099276
175,69104267311
176,69104341700
177,69103810705
178,69104054407
179,69103200473
180,69103809542
181,69103614282
182,87101361242
183,69104332774
184,87101324465
185,87101389457
186,69104267335
187,69104237028
188,69103783422
189,69104118771
190,69103307753
191,69104292969
192,69103727348
193,69104267338
194,87101392857
195,69103821996
196,69104281636
197,69103347418
198,69103043454
199,69104267314
200,69104209188
201,69103911478
202,69103850463
203,69102655487
204,87101310685
205,69104303788
206,87101372378
207,69104084091
208,87101372418
209,87101383421
210,69104281622
211,66100823169
212,66100826922
213,66100696887
214,66100846998
215,66100852798
216,66100845501
217,66100846080
218,69104281623
219,69104125645
220,69102716806
221,87101221845
222,69102743606
223,87101211067
224,69103518046
225,69103649449
226,69102823672
227,69103045047
228,69104267532
229,69103973959
230,69102654887
231,69103959122
232,69104258243
233,69102823671
234,69104267540
235,87100699844
236,69100993857
237,69103827080
238,69104054893
239,69104062391
240,69104020238
241,69104132307
242,87101322108
243,69104341662
244,69103944847
245,69104193671
246,69104281633
247,69104286946
248,87101377503
249,69104319233
250,69104035786
251,69103899302
252,87101400295
253,69102712346
254,69103832678
255,69104348783
256,87100993723
257,69103779438
258,87101341896
259,69104313926
260,69104114840
261,69103947720
262,87101395864
263,87101346727
264,69102928777
265,69104316215
266,69104189555
267,69104352524
268,69102712491
269,87101383866
270,69103035616
271,87100545763
272,69103925034
273,69103449419
274,69104281624
275,69103968116
276,69103685767
277,69104100754
278,69104316234
279,69104203192
280,69103629487
281,69104267538
282,69104212636
283,87101404129
284,87101099905
285,69104267543
286,69103830095
287,69103926642
288,69103150156
289,69102743607
290,69102968596
291,69104296014
292,69104031472
293,69104303227
294,69102743573
295,69103002019
296,69104009544
297,69103629488
298,87100958463
299,69103629502
300,69104349147
301,69104249546
302,87100889954
303,69103250444
304,69103461615
305,87101049548
306,69104298452
307,69104260277
308,87101229810
309,69102725694
310,69102769729
311,87101351852
312,69104020483
313,69104100479
314,69104059804
315,69102943131
316,87101381208
317,69104303692
318,69104312471
319,69103629485
320,69103708903
321,69103633674
322,69102712349
323,69104121391
324,69104217998
325,69104309216
326,69104269602
327,66100831728
328,66100828631
329,66100856735
330,66100672899
331,66100797995
332,66100830330
333,66100841970
334,66100857353
335,66100793891
336,66100852551
337,66100848090
338,66100858247
339,66100836335
340,66100840248
341,66100743120
342,66100838277
343,66100837757
344,66100830085
345,66100832226
346,66100773711
347,66100748762
348,66100832064
349,66100836013
350,8419628046
351,66100846706
352,66100834096
353,66100859130
354,66100838560
355,66100822359
356,66100843667
357,66100840498
358,66100779260
359,66100821027
360,66100855490
361,66100832075
362,66100856855
363,66100831237
364,66100846778
365,66100585193
366,66100838116
367,66100857504
368,66100829011
369,66100819007
370,66100780254
371,66100843529
372,66100836557
373,66100859728
374,66100850084
375,69103523065
376,69103428505
377,69104297880
378,69103983038
379,69104036870
380,69104337593
381,69103240739
382,87101355525
383,69104318725
384,69104069870
385,69104144897
386,87101345545
387,69102727786
388,69104260573
389,69104290825
390,69102718097
391,69104320673
392,69104225413
393,69104160739
394,69104207529
395,69103160919
396,69104326924
397,69104125606
398,87101388627
399,69103586692
400,87101352260
401,69103167559
402,87101309587
403,69103478548
404,69104260183
405,69104273618
406,87101381852
407,69104120720
408,69104236864
409,69102703795
410,69103769383
411,69103649590
412,69102954775
413,87101318263
414,69104349299
415,87101389011
416,87101322046
417,87101382017
418,69104153601
419,69103848552
420,69104197010
421,87101203878
422,69104337361
